CustomerID,Age,Gender,Segment,NPS,ChurnLabel,TotalPurchaseValue,SubscriptionPlan,TotalLatePayments,PageViews,TimeSpentOnWebsite,NumberOfLogins,FrequencyOfInteractions,Rating
1126,43,Male,Segment A,8,0,32367.46,Flex,12,68,103,28,Daily,5
1127,40,Female,Segment C,0,1,11958.77,Select,48,4,9,7,Weekly,1
1128,64,Male,Segment B,0,1,21833.93,Express,53,5,18,1,Daily,5
1129,40,Male,Segment C,1,0,640.92,Student,12,74,2,13,Weekly,4
1130,29,Male,Segment B,4,0,3894.0299999999997,Plus,7,20,83,8,Weekly,5
1131,34,Female,Segment A,2,1,23720.3,VIP,41,4,30,28,Daily,4
1132,54,Female,Segment A,3,1,7408.8,Elite,51,31,22,12,Monthly,2
1133,46,Female,Segment A,1,0,12218.03,Silver,7,33,66,20,Weekly,1
1134,41,Female,Segment A,9,0,5754.08,Select,4,64,47,21,Weekly,4
1135,60,Female,Segment B,3,1,21534.78,Essential,4,56,26,30,Daily,5
1136,36,Male,Segment A,0,0,214.3,Gold,9,97,52,25,Weekly,3
1137,53,Male,Segment A,1,1,13316.88,Gold,55,92,6,28,Monthly,3
1138,43,Male,Segment A,0,1,36718.55,VIP,27,29,11,21,Monthly,3
1139,42,Female,Segment A,2,1,5208.53,Essential,62,18,22,26,Daily,1
1140,44,Male,Segment C,3,1,10806.03,Flex,78,5,32,11,Daily,1
1141,66,Female,Segment B,3,0,13589.16,Elite,6,52,9,22,Daily,2
1142,21,Female,Segment A,9,0,10130.54,Smart,9,43,77,4,Weekly,5
1143,35,Male,Segment A,1,0,9829.18,Family,5,17,86,4,Weekly,1
1144,27,Female,Segment B,3,0,7530.01,Deluxe,13,86,15,21,Weekly,1
1145,60,Female,Segment B,0,1,13650.7,Unlimited,63,24,13,15,Daily,4
1146,43,Male,Segment B,6,0,34394.83,Prime,7,75,100,26,Weekly,4
1147,54,Female,Segment C,7,0,24798.59,Unlimited,13,88,29,9,Daily,2
1148,42,Male,Segment B,8,0,24136.9,Plus,4,72,40,8,Weekly,1
1149,18,Female,Segment B,2,1,21394.75,Family,38,87,10,5,Weekly,1
1150,70,Male,Segment B,6,0,16295.43,Flex,13,90,94,13,Monthly,5
1151,65,Male,Segment C,3,1,3153.01,Basic,39,76,33,13,Monthly,1
1152,20,Female,Segment A,4,0,15901.51,Pro,7,71,1,17,Daily,1
1153,41,Male,Segment A,3,1,17081.920000000002,Prime,45,38,9,17,Monthly,2
1154,65,Male,Segment C,1,0,7140.240000000001,Plus,11,46,40,13,Weekly,5
1155,63,Female,Segment C,2,0,877.62,Elite,8,6,90,6,Weekly,1
1156,33,Male,Segment B,0,1,4370.88,Family,64,99,5,7,Monthly,2
1157,57,Female,Segment C,3,0,33148.96,Eco,4,6,94,25,Daily,1
1158,48,Female,Segment C,5,0,11635.710000000001,Trial,7,23,101,21,Daily,3
1159,57,Male,Segment A,1,0,21934.17,Pro,7,6,103,23,Monthly,2
1160,19,Female,Segment A,1,1,141.78,Smart,53,41,30,10,Daily,1
1161,50,Female,Segment B,0,0,6628.56,Elite,3,82,64,19,Daily,5
1162,32,Male,Segment C,3,1,17512.38,Gold,93,12,12,8,Weekly,3
1163,19,Male,Segment C,2,0,10123.31,Elite,8,70,51,16,Daily,1
1164,57,Female,Segment B,7,0,8631.62,Gold,5,27,14,1,Monthly,4
1165,28,Male,Segment B,2,0,5355.1,Unlimited,6,43,5,5,Daily,5
1166,58,Male,Segment B,7,0,31064.75,Smart,4,8,36,8,Weekly,1
1167,24,Female,Segment C,1,0,27087.05,VIP,10,81,102,12,Weekly,4
1168,26,Female,Segment A,7,0,30508.37,Plus,4,27,68,18,Monthly,5
1169,40,Male,Segment C,0,0,7259.3,Unlimited,87,74,30,25,Weekly,3
1170,28,Male,Segment C,5,0,12668.75,Basic,6,9,29,18,Daily,5
1171,35,Male,Segment A,5,0,13367.26,Gold,6,26,97,14,Monthly,2
1172,42,Male,Segment A,1,0,11811.3,Pro,10,36,17,10,Weekly,2
1173,63,Female,Segment A,3,1,9133.4,Essential,54,87,3,19,Daily,1
1174,21,Female,Segment A,8,0,5889.5,Unlimited,5,70,94,25,Monthly,1
1175,67,Male,Segment C,3,1,30738.53,Elite,46,62,34,1,Weekly,3
1176,68,Female,Segment B,2,1,4314.48,Eco,57,6,16,7,Monthly,2
1177,29,Male,Segment A,3,1,7579.1900000000005,Silver,51,14,9,27,Daily,4
1178,59,Male,Segment C,3,1,7004.87,Smart,86,74,7,13,Weekly,1
1179,35,Male,Segment A,0,0,1905.38,Plus,7,11,102,14,Monthly,1
1180,67,Female,Segment B,3,0,403.32,Bronze,7,92,90,19,Weekly,3
1181,26,Male,Segment B,5,0,666.36,Plus,10,24,10,19,Monthly,3
1182,50,Male,Segment B,5,0,12855.240000000002,Trial,6,15,94,27,Weekly,4
1183,30,Male,Segment A,2,0,12470.74,Silver,4,68,34,13,Daily,4
1184,37,Female,Segment A,2,0,10869.6,Elite,13,10,96,29,Monthly,4
1185,33,Female,Segment C,4,0,5785.55,Elite,6,12,71,4,Weekly,5
1186,64,Male,Segment B,1,0,12658.32,Bronze,4,26,40,18,Monthly,4
1187,29,Male,Segment B,1,1,27236.59,Eco,56,82,24,30,Weekly,1
1188,18,Male,Segment C,0,0,11742.5,Eco,10,10,23,13,Weekly,5
1189,58,Female,Segment A,6,0,33388.0,Eco,6,67,10,30,Weekly,4
1190,44,Female,Segment A,0,1,12103.130000000001,Student,60,83,14,26,Monthly,3
1191,18,Female,Segment C,0,1,8099.610000000001,Silver,66,88,3,19,Weekly,5
1192,29,Female,Segment C,0,1,28089.31,Unlimited,97,35,21,1,Weekly,4
1193,36,Male,Segment B,4,0,9499.14,Select,1,12,100,25,Monthly,5
1194,58,Female,Segment B,0,0,12342.54,Basic,7,29,34,16,Weekly,1
1195,49,Female,Segment B,0,0,6452.9,Bronze,58,87,13,13,Weekly,2
1196,36,Male,Segment A,4,0,13189.32,Plus,10,83,90,13,Weekly,4
1197,32,Male,Segment C,8,0,3550.8,Basic,5,31,48,5,Daily,4
1198,36,Male,Segment B,0,1,4457.25,Unlimited,80,69,19,27,Monthly,3
1199,52,Male,Segment A,2,1,27966.37,Basic,81,29,6,10,Daily,3
1200,24,Female,Segment C,3,1,1485.36,Pro,74,88,2,2,Weekly,3
1201,70,Male,Segment B,2,0,7626.599999999999,Elite,9,35,93,25,Monthly,1
1202,66,Male,Segment A,2,1,28063.69,Deluxe,57,17,1,3,Daily,4
1203,27,Male,Segment B,0,1,4647.92,Flex,79,95,4,16,Weekly,5
1204,24,Female,Segment C,5,0,20799.25,Plus,9,99,44,3,Weekly,1
1205,46,Male,Segment A,0,1,20744.84,Smart,65,65,1,23,Weekly,2
1206,31,Female,Segment C,2,1,14951.41,Bronze,55,3,23,30,Weekly,4
1207,65,Male,Segment B,4,0,14800.279999999999,VIP,3,11,38,30,Weekly,3
1208,55,Male,Segment C,0,1,13957.05,Essential,56,76,12,25,Daily,3
1209,46,Male,Segment C,1,1,12839.26,Plus,109,99,31,1,Weekly,3
1210,23,Male,Segment B,1,1,15147.32,Bronze,58,94,29,8,Daily,1
1211,50,Male,Segment A,7,0,22990.23,Prime,9,4,75,17,Weekly,1
1212,58,Male,Segment B,5,0,3169.74,Express,6,19,18,25,Weekly,4
1213,34,Female,Segment B,3,1,23537.3,Silver,63,78,10,26,Monthly,5
1214,61,Female,Segment B,1,1,8767.36,Elite,64,23,20,2,Daily,1
1215,58,Male,Segment A,3,0,19012.46,Plus,5,14,87,15,Daily,5
1216,33,Female,Segment B,0,1,19745.55,Elite,46,65,25,21,Monthly,5
1217,43,Female,Segment A,8,0,16098.800000000001,VIP,7,40,40,24,Weekly,2
1218,59,Female,Segment C,2,0,6807.0,Basic,8,58,67,7,Monthly,1
1219,21,Male,Segment C,8,0,7530.03,Essential,7,30,50,12,Weekly,1
1220,19,Male,Segment A,3,1,4172.2699999999995,Eco,10,10,85,21,Weekly,4
1221,32,Female,Segment C,1,0,7586.24,Unlimited,8,67,34,19,Monthly,4
1222,29,Male,Segment C,3,1,20373.32,Smart,75,79,17,21,Weekly,5
1223,34,Male,Segment C,5,0,24043.32,Select,6,37,8,18,Daily,2
1224,29,Male,Segment B,7,0,5634.599999999999,Basic,10,32,11,20,Monthly,5
1225,48,Female,Segment B,0,1,10079.26,Essential,49,95,17,12,Monthly,5
1226,59,Female,Segment C,9,0,14907.32,Bronze,4,79,83,20,Monthly,4
1227,20,Female,Segment B,2,0,2512.23,Pro,6,81,52,9,Weekly,2
1228,66,Male,Segment C,6,0,2887.22,Flex,9,44,13,15,Daily,3
1229,40,Male,Segment A,0,0,14092.220000000001,Select,8,42,55,18,Monthly,1
1230,59,Male,Segment C,0,0,24473.54,Prime,108,44,12,27,Daily,1
1231,36,Female,Segment C,2,1,15247.78,Silver,67,52,21,24,Weekly,5
1232,42,Female,Segment B,1,1,17230.13,VIP,50,39,22,11,Monthly,3
1233,68,Male,Segment B,2,0,26893.73,Unlimited,6,40,19,11,Monthly,1
1234,31,Female,Segment A,0,0,33386.59,Unlimited,8,31,70,28,Daily,3
1235,30,Male,Segment A,4,0,10461.52,Smart,10,83,53,17,Weekly,5
1236,28,Female,Segment C,4,0,2863.3199999999997,Plus,7,84,15,2,Monthly,3
1237,24,Female,Segment B,9,0,13563.01,Basic,4,66,51,25,Daily,2
1238,25,Female,Segment C,8,0,12941.4,Gold,7,17,16,8,Weekly,1
1239,34,Female,Segment A,1,0,14097.500000000002,Student,9,41,37,16,Daily,4
1240,52,Female,Segment C,2,1,25114.37,Smart,46,60,27,13,Monthly,4
1241,27,Female,Segment C,3,1,5771.19,Trial,53,61,21,16,Daily,3
1242,53,Male,Segment C,1,1,24472.03,Student,70,45,5,26,Daily,1
1243,48,Male,Segment A,1,0,22539.86,Family,6,20,101,10,Weekly,4
1244,55,Male,Segment B,2,0,20788.34,Smart,6,56,37,6,Monthly,2
1245,30,Male,Segment C,0,1,31413.710000000003,Trial,82,72,30,19,Weekly,2
1246,47,Male,Segment A,2,0,7374.6,Plus,5,23,99,22,Weekly,5
1247,34,Female,Segment A,0,1,14628.73,Deluxe,73,23,16,10,Weekly,4
1248,49,Male,Segment C,1,1,5496.71,Express,75,85,5,1,Monthly,4
1249,60,Male,Segment B,1,0,2116.23,Pro,4,58,32,25,Monthly,5
1250,52,Male,Segment C,2,1,3906.24,Unlimited,88,17,5,7,Monthly,2
1251,47,Female,Segment A,2,1,19602.45,Basic,54,61,24,9,Weekly,4
1252,18,Female,Segment C,2,1,21258.239999999998,Prime,78,29,2,7,Weekly,2
1253,43,Female,Segment B,6,0,11274.82,Trial,10,1,2,24,Daily,2
1254,36,Male,Segment C,4,0,17714.87,Bronze,5,35,35,4,Monthly,5
1255,32,Female,Segment C,4,0,14123.2,Express,10,58,44,13,Monthly,5
1256,26,Female,Segment A,5,0,10749.119999999999,Elite,8,88,95,27,Daily,3
1257,45,Male,Segment B,0,1,22926.57,Silver,77,75,19,5,Monthly,3
1258,23,Female,Segment C,2,1,22034.15,Bronze,93,86,15,11,Weekly,4
1259,50,Female,Segment C,3,1,44481.35,Essential,80,39,27,29,Weekly,4
1260,54,Female,Segment C,3,0,4074.5499999999997,Family,4,30,16,19,Monthly,2
1261,28,Female,Segment C,3,0,24717.04,Bronze,7,60,78,27,Daily,2
1262,50,Female,Segment C,1,1,23765.23,Unlimited,67,19,8,4,Daily,2
1263,67,Female,Segment A,0,1,26841.01,Basic,21,30,24,5,Weekly,5
1264,63,Male,Segment B,0,1,31622.6,Select,63,97,21,6,Daily,1
1265,27,Female,Segment B,1,1,7479.839999999999,Bronze,84,25,15,4,Monthly,1
1266,37,Female,Segment A,5,0,4455.139999999999,Family,11,56,28,27,Weekly,3
1267,46,Male,Segment A,2,1,786.23,Gold,72,56,23,8,Weekly,3
1268,57,Female,Segment C,6,0,17845.66,Basic,12,74,31,30,Monthly,3
1269,22,Male,Segment B,1,1,19502.53,Family,61,64,10,15,Monthly,1
1270,30,Male,Segment C,2,0,14498.19,Express,8,83,9,9,Monthly,1
1271,39,Male,Segment A,9,0,7098.32,Deluxe,8,43,94,23,Monthly,1
1272,56,Male,Segment B,9,0,26112.86,Plus,9,66,23,14,Monthly,2
1273,53,Female,Segment B,2,0,19353.43,Unlimited,10,43,18,30,Daily,1
1274,32,Male,Segment C,0,1,3089.9,Express,75,89,16,5,Weekly,3
1275,68,Female,Segment A,2,1,4592.88,Flex,30,10,34,12,Weekly,2
1276,49,Male,Segment B,3,1,9827.64,Flex,48,100,1,23,Monthly,4
1277,27,Male,Segment C,6,0,26238.809999999998,Smart,10,23,76,26,Weekly,1
1278,25,Male,Segment C,3,1,6989.789999999999,Express,63,10,23,20,Weekly,4
1279,20,Female,Segment C,2,0,4422.740000000001,Pro,5,89,39,23,Weekly,5
1280,41,Female,Segment C,1,0,267.7,Deluxe,5,60,26,5,Daily,4
1281,24,Male,Segment B,0,0,13091.470000000001,Family,13,47,97,22,Daily,4
1282,20,Female,Segment C,1,0,3382.76,Deluxe,9,78,49,11,Daily,1
1283,23,Male,Segment B,4,0,11853.49,Express,10,23,35,9,Monthly,3
1284,65,Female,Segment C,0,1,10735.36,Basic,52,44,18,22,Monthly,2
1285,63,Female,Segment C,0,1,15722.140000000001,Smart,80,65,23,17,Weekly,3
1286,70,Female,Segment C,8,0,3453.03,Select,0,85,87,18,Weekly,1
1287,61,Male,Segment C,1,1,20892.35,Pro,55,43,23,5,Daily,1
1288,56,Male,Segment A,3,0,11682.84,Student,10,40,4,27,Monthly,5
1289,70,Male,Segment C,8,0,31127.98,Unlimited,11,78,8,5,Monthly,2
1290,49,Female,Segment C,3,1,1219.56,Basic,47,35,23,25,Monthly,1
1291,52,Male,Segment B,3,1,33827.95,Express,27,22,22,2,Daily,1
1292,19,Female,Segment B,1,1,4104.92,Elite,73,93,35,22,Weekly,1
1293,39,Male,Segment A,2,0,18711.510000000002,Smart,5,15,77,21,Weekly,5
1294,68,Female,Segment A,2,1,21189.54,Elite,87,93,2,29,Weekly,5
1295,48,Male,Segment A,4,0,17587.27,Family,12,87,79,19,Monthly,3
1296,51,Female,Segment B,0,1,10078.7,Essential,73,9,24,4,Monthly,3
1297,67,Female,Segment B,6,0,22768.03,Elite,5,29,53,21,Monthly,5
1298,49,Male,Segment A,2,1,32369.29,Gold,27,27,16,6,Monthly,5
1299,47,Male,Segment A,0,0,14682.61,Essential,11,47,3,18,Monthly,3
1300,48,Male,Segment C,1,1,3931.7200000000003,VIP,66,85,12,25,Weekly,1
1301,38,Male,Segment C,3,1,4336.650000000001,Basic,70,2,25,17,Weekly,5
1302,33,Female,Segment C,0,1,25554.19,Student,67,40,26,9,Weekly,3
1303,30,Male,Segment A,2,1,14565.0,Unlimited,59,22,4,28,Daily,5
1304,61,Female,Segment B,6,0,14822.92,Prime,5,67,94,2,Weekly,5
1305,36,Male,Segment C,2,0,9170.56,Plus,8,44,25,28,Weekly,1
1306,21,Male,Segment B,3,1,14428.31,Express,85,74,24,7,Weekly,4
1307,20,Female,Segment A,5,0,14738.25,Essential,9,80,100,29,Daily,2
1308,69,Female,Segment A,6,0,12871.28,Unlimited,11,20,103,14,Daily,5
1309,33,Male,Segment B,3,1,7161.099999999999,Basic,78,94,14,18,Daily,2
1310,49,Female,Segment C,0,1,15077.09,Pro,9,31,59,22,Weekly,4
1311,21,Female,Segment B,3,1,19745.16,Family,66,81,32,11,Daily,4
1312,63,Male,Segment B,1,1,14654.449999999999,Bronze,31,20,3,28,Weekly,2
1313,44,Female,Segment B,0,1,4081.9,Family,58,2,26,6,Daily,1
1314,21,Male,Segment C,8,0,23672.260000000002,Eco,9,73,19,6,Monthly,3
1315,23,Male,Segment B,3,0,3469.96,Bronze,7,4,46,15,Daily,3
1316,37,Male,Segment B,0,0,3408.2300000000005,Elite,11,35,14,19,Daily,2
1317,42,Female,Segment A,6,0,15741.949999999999,Deluxe,6,3,53,28,Monthly,5
1318,48,Male,Segment A,0,1,21712.32,Bronze,57,65,6,20,Weekly,1
1319,59,Female,Segment B,3,0,10384.060000000001,Trial,3,61,4,15,Daily,2
1320,18,Female,Segment B,5,0,24418.8,Trial,7,44,41,29,Monthly,3
1321,32,Female,Segment C,6,0,19243.01,Smart,4,53,70,27,Weekly,5
1322,58,Female,Segment C,2,1,7036.04,Smart,74,40,28,20,Weekly,2
1323,69,Female,Segment B,3,1,11963.6,Gold,51,11,22,1,Daily,2
1324,34,Female,Segment A,1,1,27476.28,Family,35,35,10,5,Monthly,2
1325,61,Male,Segment A,8,0,5053.32,Pro,6,87,71,29,Monthly,4
1326,18,Male,Segment C,3,1,8053.03,Gold,62,34,30,15,Monthly,5
1327,50,Male,Segment C,3,0,13944.17,VIP,10,82,5,13,Weekly,4
1328,69,Male,Segment C,3,0,16595.31,Silver,4,54,62,3,Monthly,4
1329,69,Male,Segment B,6,0,4277.25,Silver,6,15,40,1,Weekly,2
1330,65,Female,Segment B,4,0,22840.19,Smart,8,1,44,22,Weekly,5
1331,21,Male,Segment A,3,1,24778.61,Prime,77,53,8,15,Daily,1
1332,65,Female,Segment A,6,0,23177.649999999998,Unlimited,9,83,92,1,Daily,4
1333,28,Male,Segment B,7,0,7115.59,Family,8,8,19,5,Weekly,2
